,name,protein,carbo,sugars,rating
0,100% Bran,4,5.0,6,68.402973
1,100% Natural Bran,3,8.0,8,33.983679
2,All-Bran,4,7.0,5,59.425505
3,All-Bran with Extra Fiber,4,8.0,0,93.704912
4,Almond Delight,2,14.0,8,34.384843
5,Apple Cinnamon Cheerios,2,10.5,10,29.509541
6,Apple Jacks,2,11.0,14,33.174094
7,Basic 4,3,18.0,8,37.038562
8,Bran Chex,2,15.0,6,49.120253
9,Bran Flakes,3,13.0,5,53.313813
10,Cap'n'Crunch,1,12.0,12,18.042851
11,Cheerios,6,17.0,1,50.764999
12,Cinnamon Toast Crunch,1,13.0,9,19.823573
13,Clusters,3,13.0,7,40.400208
14,Cocoa Puffs,1,12.0,13,22.736446
15,Corn Chex,2,22.0,3,41.445019
16,Corn Flakes,2,21.0,2,45.863324
17,Corn Pops,1,13.0,12,35.782791
18,Count Chocula,1,12.0,13,22.396513
19,Cracklin' Oat Bran,3,10.0,7,40.448772
20,Cream of Wheat (Quick),3,21.0,0,64.533816
21,Crispix,2,21.0,3,46.895644
22,Crispy Wheat & Raisins,2,11.0,10,36.176196
23,Double Chex,2,18.0,5,44.330856
24,Froot Loops,2,11.0,13,32.207582
25,Frosted Flakes,1,14.0,11,31.435973
26,Frosted Mini-Wheats,3,14.0,7,58.345141
27,Fruit & Fibre Dates; Walnuts; and Oats,3,12.0,10,40.917047
28,Fruitful Bran,3,14.0,12,41.015492
29,Fruity Pebbles,1,13.0,12,28.025765
30,Golden Crisp,2,11.0,15,35.252444
31,Golden Grahams,1,15.0,9,23.804043
32,Grape Nuts Flakes,3,15.0,5,52.076897
33,Grape-Nuts,3,17.0,3,53.371007
34,Great Grains Pecan,3,13.0,4,45.811716
35,Honey Graham Ohs,1,12.0,11,21.871292
36,Honey Nut Cheerios,3,11.5,10,31.072217
37,Honey-comb,1,14.0,11,28.742414
38,Just Right Crunchy  Nuggets,2,17.0,6,36.523683
39,Just Right Fruit & Nut,3,20.0,9,36.471512
40,Kix,2,21.0,3,39.241114
41,Life,4,12.0,6,45.328074
42,Lucky Charms,2,12.0,12,26.734515
43,Maypo,4,16.0,3,54.850917
44,Muesli Raisins; Dates; & Almonds,4,16.0,11,37.136863
45,Muesli Raisins; Peaches; & Pecans,4,16.0,11,34.139765
46,Mueslix Crispy Blend,3,17.0,13,30.313351
47,Multi-Grain Cheerios,2,15.0,6,40.105965
48,Nut&Honey Crunch,2,15.0,9,29.924285
49,Nutri-Grain Almond-Raisin,3,21.0,7,40.69232
50,Nutri-grain Wheat,3,18.0,2,59.642837
51,Oatmeal Raisin Crisp,3,13.5,10,30.450843
52,Post Nat. Raisin Bran,3,11.0,14,37.840594
53,Product 19,3,20.0,3,41.50354
54,Puffed Rice,1,13.0,0,60.756112
55,Puffed Wheat,2,10.0,0,63.005645
56,Quaker Oat Squares,4,14.0,6,49.511874
57,Quaker Oatmeal,5,-1.0,-1,50.828392
58,Raisin Bran,3,14.0,12,39.259197
59,Raisin Nut Bran,3,10.5,8,39.7034
60,Raisin Squares,2,15.0,6,55.333142
61,Rice Chex,1,23.0,2,41.998933
62,Rice Krispies,2,22.0,3,40.560159
63,Shredded Wheat,2,16.0,0,68.235885
64,Shredded Wheat 'n'Bran,3,19.0,0,74.472949
65,Shredded Wheat spoon size,3,20.0,0,72.801787
66,Smacks,2,9.0,15,31.230054
67,Special K,6,16.0,3,53.131324
68,Strawberry Fruit Wheats,2,15.0,5,59.363993
69,Total Corn Flakes,2,21.0,3,38.839746
70,Total Raisin Bran,3,15.0,14,28.592785
71,Total Whole Grain,3,16.0,3,46.658844
72,Triples,2,21.0,3,39.106174
73,Trix,1,13.0,12,27.753301
74,Wheat Chex,3,17.0,3,49.787445
75,Wheaties,3,17.0,3,51.592193
76,Wheaties Honey Gold,2,16.0,8,36.187559
